draw,ng_cost,h2_end_cost,ccs_end_cost,h2_start_year,scrap_regime,grid_ef_scenario,avg_emi_target,status,obj,lifetime_avg_cost,levelized_avg_cost,lifetime_avg_emis,capture_per_t,cost_2050,emis_2050,f_bof_2050,f_eaf_2050,f_scrap_2050,f_coal_2050,f_ng_2050,f_h2_2050,solve_s
1980,22.142857142857142,3187.5,25.0,2035,modest,moderate_re,1.8,solved,2016878389558.663,602.1619511075171,572.3371167623906,1.8010000000000004,0.25178042193876654,662.842010433218,1.3186723790559327,0.5862090620090097,0.2492167532142071,0.16457418477678326,0.07564075383873306,0.05910531818189257,0.08954900587216075,0.718
1981,22.142857142857142,3187.5,34.09090909090909,2035,modest,moderate_re,1.8,solved,2023079426825.2244,603.4732387596331,574.0968082779789,1.801,0.2442391531550411,657.1546868452615,1.370365807183228,0.5869727836364862,0.2484530315867306,0.16457418477678326,0.07495340437400425,0.05910531818189257,0.08954900587216075,0.276
1982,22.142857142857142,3187.5,43.18181818181819,2035,modest,moderate_re,1.8,solved,2028484291966.1511,603.1872936779419,575.6305670545427,1.8010000000000004,0.21796440927043345,653.8917181865962,1.397667393132596,0.599675453191846,0.23575036203137084,0.16457418477678326,0.0635210017741804,0.05910531818189257,0.08954900587216075,0.678
1983,22.142857142857142,3187.5,52.27272727272727,2035,modest,moderate_re,1.8,solved,2032956502451.1875,603.1690565596904,576.8996629344982,1.801,0.21055267948697798,649.1946840162992,1.4368718557928606,0.6018460821090423,0.23357973311417426,0.16457418477678326,0.061567435748703485,0.05910531818189257,0.08954900587216075,0.263
1984,22.142857142857142,3187.5,61.36363636363637,2035,modest,moderate_re,1.8,solved,2037114491304.5383,603.9078084514598,578.0795909679271,1.801,0.20024548439908343,647.8948014468261,1.4458712166816319,0.6050770735593145,0.23034874166390232,0.16457418477678326,0.05865954344345872,0.05910531818189257,0.08954900587216075,0.367
1985,22.142857142857142,3187.5,70.45454545454547,2035,modest,moderate_re,1.8,solved,2040635880846.4207,602.9194485282129,579.0788688360583,1.8010000000000004,0.18867177680717448,640.5631160174988,1.4726814940961552,0.6116285797431421,0.22379723548007469,0.16457418477678326,0.05276318787801383,0.05910531818189257,0.08954900587216075,0.483
1986,22.142857142857142,3187.5,79.54545454545455,2035,modest,moderate_re,1.8,solved,2043913861537.0364,603.4412518920706,580.0090736649574,1.8010000000000006,0.18159421323277444,640.1098273458147,1.4790522998083435,0.6127522914604445,0.2226735237627721,0.16457418477678326,0.05175184733244164,0.05910531818189257,0.08954900587216075,0.247
1987,22.142857142857142,3187.5,88.63636363636364,2035,modest,moderate_re,1.8,solved,2046703020507.2292,602.3293889473963,580.8005637277477,1.801,0.16832328172735356,640.3088632196971,1.4942696303993364,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.682
1988,22.142857142857142,3187.5,97.72727272727273,2035,modest,moderate_re,1.8,solved,2049346696535.654,602.7209114649745,581.5507695525489,1.8010000000000004,0.1624220238260643,638.1900921105283,1.5000825965828455,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.248
1989,22.142857142857142,3187.5,106.81818181818183,2035,modest,moderate_re,1.8,solved,2051826142852.731,602.5216351650523,582.2543712985091,1.801,0.16129003828350316,636.841975406493,1.5110381373570305,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.696
